# det side strip channel_type expected entries status
1 0 0 single 1 0 missing
1 0 1 single 1 0 missing
1 0 2 single 1 0 missing
1 0 3 single 1 0 missing
1 0 4 single 1 0 missing
1 0 5 single 1 0 missing
1 0 6 single 1 0 missing
1 0 7 single 1 0 missing
1 0 8 single 1 0 missing
1 0 9 single 1 0 missing
1 0 10 single 1 0 missing
1 0 11 single 1 0 missing
1 0 12 single 1 0 missing
1 0 13 single 1 0 missing
1 0 14 single 1 0 missing
1 0 15 single 1 0 missing
1 0 16 single 1 0 missing
1 0 17 single 1 0 missing
1 0 18 single 1 0 missing
1 0 19 single 1 0 missing
1 0 20 single 1 0 missing
1 0 21 single 1 0 missing
1 0 22 single 1 0 missing
1 0 23 single 1 0 missing
1 0 24 single 1 0 missing
1 0 25 single 1 0 missing
1 0 26 single 1 0 missing
1 0 27 single 1 0 missing
1 0 28 single 1 0 missing
1 0 29 single 1 0 missing
1 0 30 single 1 0 missing
1 0 31 single 1 0 missing
1 1 0 single 1 0 missing
1 1 1 single 1 0 missing
1 1 2 single 1 0 missing
1 1 3 single 1 0 missing
2 0 0 single 1 0 missing
2 0 1 single 1 0 missing
2 0 2 single 1 0 missing
2 0 3 single 1 0 missing
2 0 4 single 1 0 missing
2 0 5 single 1 0 missing
2 0 6 single 1 0 missing
2 0 7 single 1 0 missing
2 0 8 single 1 0 missing
2 0 9 single 1 0 missing
2 0 10 single 1 0 missing
2 0 11 single 1 0 missing
2 0 12 single 1 0 missing
2 0 13 single 1 0 missing
2 0 14 single 1 0 missing
2 0 15 single 1 0 missing
2 0 16 single 1 0 missing
2 0 17 single 1 0 missing
2 0 18 single 1 0 missing
2 0 19 single 1 0 missing
2 0 20 single 1 0 missing
2 0 21 single 1 0 missing
2 0 22 single 1 0 missing
2 0 23 single 1 0 missing
2 0 24 single 1 0 missing
2 0 25 single 1 0 missing
2 0 26 single 1 0 missing
2 0 27 single 1 0 missing
2 0 28 single 1 0 missing
2 0 29 single 1 0 missing
2 0 30 single 1 0 missing
2 0 31 single 1 0 missing
2 1 0 single 1 0 missing
2 1 1 single 1 0 missing
2 1 2 single 1 0 missing
2 1 3 single 1 0 missing
3 0 0 single 1 0 missing
